item_name,category,subcategory,currency,price_min,price_max,price_per_kg
Acili Ezme (Hot),Appetizers & Salads & Sides,Appetizers,CAD,12.99,12.99,
Acuka (Adjika),Appetizers & Salads & Sides,Sides,CAD,7.99,7.99,
Ahirdag Salad,Appetizers & Salads & Sides,Salads,CAD,19.99,19.99,
Appetizer Platter,Appetizers & Salads & Sides,Appetizers,CAD,26.99,26.99,
Babaghanoush,Appetizers & Salads & Sides,Appetizers,CAD,12.99,12.99,
Beef Salad,Appetizers & Salads & Sides,Salads,CAD,24.99,24.99,
Bread Basket,Appetizers & Salads & Sides,,CAD,2.99,2.99,
Cacik (Tzatziki),Appetizers & Salads & Sides,Appetizers,CAD,12.99,12.99,
Caesar Salad with Grilled Chicken,Appetizers & Salads & Sides,Salads,CAD,23.99,23.99,
Caesar Salad with Salmon,Appetizers & Salads & Sides,Salads,CAD,24.99,24.99,
Caesar Salad with Shrimp,Appetizers & Salads & Sides,Salads,CAD,24.99,24.99,
Falafel Appetizer,Appetizers & Salads & Sides,Appetizers,CAD,10.99,10.99,
French Fries,Appetizers & Salads & Sides,Sides,CAD,9.99,9.99,
Greek Salad,Appetizers & Salads & Sides,Salads,CAD,19.99,19.99,
Halloumi Salad,Appetizers & Salads & Sides,Salads,CAD,21.99,21.99,
Homemade Sigara Borek (5 pieces),Appetizers & Salads & Sides,Sides,CAD,10.99,10.99,
Hummus,Appetizers & Salads & Sides,Appetizers,CAD,12.99,12.99,
Hummus with Steak Bites,Appetizers & Salads & Sides,Appetizers,CAD,16.99,16.99,
Muhammara,Appetizers & Salads & Sides,Appetizers,CAD,13.99,13.99,
Pita Bread,Appetizers & Salads & Sides,Sides,CAD,2.49,2.49,
Rice,Appetizers & Salads & Sides,Sides,CAD,7.99,7.99,
Shrimp Avocado Salad,Appetizers & Salads & Sides,Salads,CAD,24.99,24.99,
Soup of the Day,Appetizers & Salads & Sides,Soup,CAD,9.99,9.99,
Yoghurt,Appetizers & Salads & Sides,Sides,CAD,7.99,7.99,
Borek with Feta Cheese,Bakery,Boreks,CAD,12.99,12.99,
Borek with Ground Beef,Bakery,Boreks,CAD,12.99,12.99,
Pogacha with Feta Cheese,Bakery,Sides,CAD,3.49,3.49,
Roll Borek,Bakery,,CAD,5.99,5.99,
Simit,Bakery,Sides,CAD,3.5,4.99,
Simit - Turkish bagel,Bakery,,CAD,4.99,4.99,
Su Borek with Cheese,Bakery,Boreks,CAD,10.99,10.99,
Turkish Simit Sandwich,Bakery,Sides,CAD,16.99,16.99,
Village Borek with Potato,Bakery,Boreks,CAD,6.99,6.99,
with Ice Cream Mado Waffle,Bakery,Tastes,CAD,19.99,19.99,
with Olives,Bakery,Pogacha,CAD,3.49,3.49,
Carrot Slice Baklava with Ice Cream,Baklava,,CAD,17.99,17.99,
Desserts Carrot Slice Baklava,Baklava,Pistachio,CAD,12.99,12.99,75.0
Desserts Cold Baklava,Baklava,Pistachio,CAD,13.99,13.99,
Desserts Mixed Dessert Plate,Baklava,Pistachio,CAD,19.99,19.99,
Desserts Mussel Shaped Baklava,Baklava,Pistachio,CAD,9.99,9.99,69.0
Desserts Pistachio Baklava,Baklava,Pistachio,CAD,9.99,9.99,55.0
Desserts Pistachio Dolama,Baklava,Pistachio,CAD,12.99,12.99,69.0
Desserts Pistachio Sarma,Baklava,Pistachio,CAD,12.99,12.99,69.0
Desserts Pistachio Sobiyet,Baklava,Pistachio,CAD,9.99,9.99,65.0
Desserts Pistachio Tel Kadaif,Baklava,Pistachio,CAD,9.99,9.99,65.0
